# Belle Zb hb1p spectrum (manually digitized)
# m_GeV,events,events_err
10.4200,500.0,800.0
10.4400,1000.0,900.0
10.4600,2000.0,1000.0
10.4800,4000.0,1200.0
10.5000,7000.0,1500.0
10.5200,10000.0,1800.0
10.5400,8000.0,1600.0
10.5600,4000.0,1200.0
10.5800,3000.0,1100.0
10.6000,5000.0,1300.0
10.6200,9000.0,1700.0
10.6400,7000.0,1400.0
10.6600,3500.0,1100.0
10.6800,1500.0,900.0
