# Belle Zb hb2p spectrum (manually digitized)
# m_GeV,events,events_err
10.4200,1000.0,1200.0
10.4400,2000.0,1400.0
10.4600,4000.0,1600.0
10.4800,7000.0,2000.0
10.5000,11000.0,2500.0
10.5200,15000.0,3000.0
10.5400,13000.0,2700.0
10.5600,7000.0,2000.0
10.5800,5000.0,1800.0
10.6000,8000.0,2200.0
10.6200,14000.0,2800.0
10.6400,11000.0,2400.0
10.6600,5500.0,1700.0
10.6800,2500.0,1400.0
