#: table_doi: 10.17182/hepdata.113470.v1/t11
#: name: Fig ED3a
#: description: Mass distributions for selected $\bar{D}^0D^0\pi^+$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_ED3a.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{ar{D}^0 D^0 \pi^+}$ [GEV],$m_{ar{D}^0 D^0 \pi^+}$ [GEV] LOW,$m_{ar{D}^0 D^0 \pi^+}$ [GEV] HIGH,DN/DM [MEV**-1],stat +,stat -
3.9625000000000004,3.962,3.963,3.44606,2.58911,-2.58911
3.9635,3.963,3.964,7.23642,2.90517,-2.90517
3.9645,3.964,3.965,3.95961,2.18252,-2.18252
3.9655,3.965,3.966,1.6883,2.43763,-2.43763
3.9665,3.966,3.967,3.05562,2.22222,-2.22222
3.9675000000000002,3.967,3.968,1.7079,2.66465,-2.66465
3.9684999999999997,3.968,3.969,1.81834,2.75378,-2.75378
3.9695,3.969,3.97,1.94364,1.85951,-1.85951
3.9705000000000004,3.97,3.971,6.32395,2.93892,-2.93892
3.9715,3.971,3.972,4.61849,2.0563,-2.0563
3.9725,3.972,3.973,3.12731,2.04151,-2.04151
3.9735,3.973,3.974,4.44776,2.75873,-2.75873
3.9745,3.974,3.975,2.44997,2.50453,-2.50453
3.9755000000000003,3.975,3.976,5.66344,2.87834,-2.87834
3.9764999999999997,3.976,3.977,7.44574,3.09688,-3.09688
3.9775,3.977,3.978,2.35585,2.10086,-2.10086
3.9785000000000004,3.978,3.979,5.9457,2.6067,-2.6067
3.9795,3.979,3.98,3.33236,2.10023,-2.10023
3.9805,3.98,3.981,3.98609,2.31527,-2.31527
3.9815,3.981,3.982,5.95077,2.956,-2.956
3.9825,3.982,3.983,5.55087,3.00077,-3.00077
